,Questions,Correct,A,B,C,D,Category
1033,"The song A Little Priest, from Stephen Sondheims 1979 musical Sweeney Todd, is about what?
",Cannibalism,Cannibalism,Christian Charity,Catholicism vs. Protestantism,Clergy Corruption,humanities
1034,"According to a popular song from the 2003 puppet musical Avenue Q, what is the Internet for?
",Porn,Porn,Quizzes,MySpace,Scholarly Research,humanities
1035,"One of the best-known tales of Arthurian times is The Sword in the Stone, written by T. H. White.  In the book, the soon-to-be-king, Arthur, is lives with which of these people?
",Sir Ector,King Pellinore,Merlyn,Sir Grummore Grummursum,Sir Ector,humanities
1036,"In the popular childrens animated musical, Quest For Camelot, what well-known female singer provided the singing voice for Lady Juliana?
",C̬line Dion,Brittney Spears,Faith Hill,Amy Grant,C̬line Dion,humanities
1037,"In 1456, Sir Thomas Mallory completed what is one of the most well-known accounts of the life of King Arthur, called Le Morte DArthur.
",False,True,False,,,humanities
1038,"During the reign of King Henry II, what is thought to be the grave of King Arthur, was discovered where in England?
",Glastonbury,Salisbury,Glastonbury,"London (or, as it was once called, Londres)",Avalon,humanities
1039,"Is it true that in Greek mythology, Medusa, who was a beautiful girl with beautiful hair, became a Gorgon with serpents in her hair because she was arrogant and dared to compare her beauty to that of Athena?
",No,Yes,No,,,humanities
1040,"What does Gigantoleteira mean?
",The giants destroyer,The giants destroyer,The worshipper of giants,The giant hero,The friend of giants,humanities
1041,"What does the name Ergane mean?
",Worker,Hero,Maiden,Strong,Worker,humanities
1042,"What kind of musical instrument did Athena invent?
",Flute,Harp,Flute,Lyre,Guitar,humanities
1043,"What does Korih, one of Athenas names, mean?
",Virgin,Hero,Goddess,Worker,Virgin,humanities
1044,"Ancient Greeks believed that this Titan created man.
",Prometheus,Ouranos,Kronos,Prometheus,Epimetheus,humanities
1045,"This Titan overthrew his father, Ouranos and ruled over the Earth before the gods.
",Cronus,Oceanus,None of these,Cronus,Zeus,humanities
1046,"These mythological figures were gigantic beings with one hundred hands.
",Hecatoncheires,Cyclops,Hecatoncheires,Gorgons,None of these,humanities
1047,"Which Greek god is known as the Earth-shaker?
",Poseidon,Neptune,Hephaestus,Poseidon,Hades,humanities
1048,"Zeus is the Greek god of the sky and the chief of the gods.
",True,True,False,,,humanities
1049,"Name the mythological giant three-headed dog that guarded the gate to the underworld.
",Cerberus,Cerberus,Chimaera,Echidna,Orthrus,humanities
1050,"What was the home of the gods in Greek mythology?
",Mt. Olympus,the Elysian Fields,Tartarus,Mt. Olympus,None of these,humanities
1051,"According to Greek mythology, Pegasus and his brother, Chrysaor were born when Perseus decapitated this monster.
",Medusa,Medusa,Akimbo,None of these,Minotaur,humanities
1052,"According to Greek mythology, Odysseus and his men landed on the island of the Lotus Eaters following the Trojan War.
",True,False,True,,,humanities
1053,"Polyphemus, the one-eyed son of Poseidon, asked his father not to allow this mythological hero to return home.
",Odysseus,Eurymachus,Telemachus,Maron,Odysseus,humanities
1054,"Baroque painters Caravaggio and Rembrandt used chiaroscuro, an art technique, related to the distribution of light and dark in a painting.
",True,False,True,,,humanities
1055,"Diego Velazquez, a Spanish Baroque Era painter, became most famous with what kind of paintings?
",Portraits,Paintings on war subject,Still lives,Portraits,Paintings on biblical subject,humanities
1056,"Boy Blowing a Horn, a sculpture created by Italian Baroque Era sculptor Pietro Tacca, is displayed where?
","in the Hermitage Museum, Saint Petersburg, Russia","in the Courtauld Institute of Art, London, UK","in the Hermitage Museum, Saint Petersburg, Russia","in the National Gallery of Art, Washington D. C.","in the Art Gallery of the University of Rochester, New York",humanities
1057,"Works of Pietro Bernini, a Baroque Era sculptor, are displayed in which American museum?
","The Metropolian Museum of Art, New York City","Asheville Art Museum, North Carolina","Boston University Art Gallery, Massachusetts","The Metropolian Museum of Art, New York City","Huntington Museum of Art, West Virginia",humanities
1058,"Ottavio Leoni, an Italian Baroque Era printmaker and painter, painted which of the following drawings?
",Urban III,Ritratto di Paolo Morigia,Urban III,Judith with the Head of Holofernes,Grotesque Head,humanities
1059,"Rubens, one of the most famous Flemish Baroque Era painters, was a student of Cornelis de Vos.
",False,True,False,,,humanities
1060,"Where did Diego Velazquez, a Spanish Baroque Era painter, spend his middle period?
",Madrid,Madrid,Genoa,Barcelona,Florence,humanities
1061,"In India dacoit  is a synonym for what word?
",bandit,bandit,miner,wagon,mongoose,humanities
1062,"Dear Elle:hes a lucky guy--
",", like, gonna cry--",got tears coming out of my nose!  ,d props!.... ,e the first lines of lyrics in this song sung by Margot in the musical Legally Blonde.,Omigod You Guys,humanities
1063,"What division is based on the different treatment of the three original velar rows?
",Satem and Centum languages,Satem and Centum languages,Balto-Slavic and Indo-Hittite languages,Proto-Indo-European and Indo-European languages,Anatolian and Tocharian languages,humanities
1064,"Venetic is an extinct language from the Indo-European family that was spoken in what country?
",Italy,Spain,France,Italy,Belgium,humanities
1065,"The official language of the Hittite Empire, the Hittite language, is part of what group of extinct Indo-European languages?
",Anatolian,Celtic,Tocharian,Anatolian,Indo-Iranian,humanities
1066,"What language of the Baltic group is extinct?
",Selonian,Samogitian,Latgalian,Selonian,New Curonian,humanities
1067,"English belongs to what group of languages in the Indo-European family?
",Germanic,Germanic,Celtic,Italic,Baltic,humanities
1068,"The Grimms law describes what Proto-Indo-European language?
",Proto-Germanic language,Proto-Germanic language,Proto-Celtic language,Proto-Greek language,Proto-Balto-Slavic language,humanities
1069,"To what group belongs the Spanish language?
",Italic,Anatolian,Germanic,Celtic,Italic,humanities
1070,"What language from the South-Slavic branch usees Cyrillic script?
",Bulgarian,Slovenian,Croatian,Bulgarian,Bosnian,humanities
1071,"The Scythians, who dominated the Pontic steppe throughout Classical Antiquity. spoke a language that belongs to what Indo-European group?
",Indo-Iranian,Tocharian,Slavic,Anatolian,Indo-Iranian,humanities
1072,"What is the largest subdivision of Indo-European as regards the largest number of native speakers and of individual languages?
",Indo-Iranian,Indo-Iranian,Slavic,Italic,Germanic,humanities
1073,"How is the Echidna described Greek mythology?
","Half-woman, half-serpent","Womans body, with a fish tail","Half-woman, half-serpent",None of these,"Womans body, with serpents instead of hair",humanities
1074,"What kind of creature is Pegasus according to Greek legends?
",Winged horse,Winged ram,Winged dog,Winged horse,Winged dragon,humanities
1075,"During which century did Italian painter Michelangelo live and work?
",15th-16th century,13th-14th century,7th-8th century,10th-11th century,15th-16th century,humanities
1076,"According to painter and sculpture Michelangelo, art originated from which of the following?
",Inner inspiration,Madness,Pain,Inner inspiration,Divine gift,humanities
1077,"What was Michelangelos view of nature and its place in art?
",He saw it as an enemy.,He saw it as an enemy.,He believed the human being was a masterpiece of Mother Nature.,He saw nature as a miracle.,None of these,humanities
1078,"Which of these statements is true about Michelangelo?
",He lived in poverty.,He lived an extravagant life.,He enjoyed eating and drinking most of all.,He lived in poverty.,None of these,humanities
1079,"Painter and sculptor Michelangelo is believed to have had homosexual inclinations.
",True,False,True,,,humanities
1080,"Which of these phrases is a synonym of limbo?
",Middle ground,Social ground,Core ground,Muddy ground,Middle ground,humanities
1081,"Which of these phrases refers to cemetery?
",Burying ground,Isoglosses ground,Exclusive ground,Social ground,Burying ground,humanities
1082,"What phrase is a synonym of jungle?
",Uncultivated ground,Kindred ground,Solid ground,Uncultivated ground,Wet ground,humanities
1083,"What does the term swale refer to?
",Low ground,Low ground,Grooved ground,Atomic ground,Middle ground,humanities
1084,"Which phrase is a synonym of chase?
",Hunting ground,Low ground,Hunting ground,Quick ground,Sacred ground,humanities
1085,"What does the word bog mean?
",Spongy ground,Low ground,Spongy ground,Dumping ground,Bleery ground,humanities
1086,"What is the meaning of the word hardpan?
",Hard ground,Still ground,Spongy ground,Hard ground,Low ground,humanities
1087,"What syntactic element is not part of the predicate?
",Subject,Adjunct,Subject,Subject Complement,Direct Object,humanities
1088,"What category is never marked on Non-Finite Verb Phrases such us to have been studying, being studied, etc?
",Tense,Correlation,Aspect,Tense,Voice,humanities
1089,"In the sentence Cristiano Ronaldo was the best player available, what is the syntactic function of the Noun Phrase the best player available?
",Subject Complement,Subject Complement,Object Direct,Subject,Object Indirect,humanities
1090,"What sentence is not in the indicative clause type (or mood)?
",Dont move!,Are you alone?,Dont move!,You are beautiful.,What a clever girl she is!,humanities
1091,"What sentence contains an Obligatory Adjunct, also known as Predicator Complement?
",The baby weighs 9 pounds.,The bus stopped suddenly.,The baby weighs 9 pounds.,The police found him without much difficulty.,She has left her husband for him.,humanities
1092,"Identify the Operator in the sentence: The football match must have been played last Saturday.
",must,have,must,been,played,humanities
1093,"The nominal clauses are finite dependent clauses that fulfill the functions of Subject, Object and Complement in clause structure. There are four main types: wh-nominal relative, dependent exclamative, wh-interrogative and what other type?
",that-clause as in He saw that the bottles were empty.,"circumstantial clause as in As soon as I got home, I phoned him.",relative clause as in Ann bought the red coat that had black buttons.,that-clause as in He saw that the bottles were empty.,comparative clause as in Paul won more money than he had expected.,humanities
1094,"Where do we have an example of code, one of the NICE constructions (negation, inversion, code and emphasis)?
","I will stay, if you will.","Please, stay!",I do want to stay.,"I will stay, if you will.",I dont want to stay.,humanities
1095,"In what sentence is there a modifier in the Adverbial Phrase?
",My shoes are bright red.,The French have come to sigh the contract.,They left for good.,I will find the person responsible.,My shoes are bright red.,humanities
1096,"Of what kind is the coordination between the clauses in the sentence You should neither ask him for money nor accept it if he offers?
",Alternation,Addition,Variation,Explanation,Alternation,humanities
